confirmed,death,state,Date
0,0,Alabama,1/22/2020
0,0,Alabama,1/23/2020
0,0,Alabama,1/24/2020
0,0,Alabama,1/25/2020
0,0,Alabama,1/26/2020
0,0,Alabama,1/27/2020
0,0,Alabama,1/28/2020
0,0,Alabama,1/29/2020
0,0,Alabama,1/30/2020
0,0,Alabama,1/31/2020
0,0,Alabama,2/1/2020
0,0,Alabama,2/2/2020
0,0,Alabama,2/3/2020
0,0,Alabama,2/4/2020
0,0,Alabama,2/5/2020
0,0,Alabama,2/6/2020
0,0,Alabama,2/7/2020
0,0,Alabama,2/8/2020
0,0,Alabama,2/9/2020
0,0,Alabama,2/10/2020
0,0,Alabama,2/11/2020
0,0,Alabama,2/12/2020
0,0,Alabama,2/13/2020
0,0,Alabama,2/14/2020
0,0,Alabama,2/15/2020
0,0,Alabama,2/16/2020
0,0,Alabama,2/17/2020
0,0,Alabama,2/18/2020
0,0,Alabama,2/19/2020
0,0,Alabama,2/20/2020
0,0,Alabama,2/21/2020
0,0,Alabama,2/22/2020
0,0,Alabama,2/23/2020
0,0,Alabama,2/24/2020
0,0,Alabama,2/25/2020
0,0,Alabama,2/26/2020
0,0,Alabama,2/27/2020
0,0,Alabama,2/28/2020
0,0,Alabama,2/29/2020
0,0,Alabama,3/1/2020
0,0,Alabama,3/2/2020
0,0,Alabama,3/3/2020
0,0,Alabama,3/4/2020
0,0,Alabama,3/5/2020
0,0,Alabama,3/6/2020
0,0,Alabama,3/7/2020
0,0,Alabama,3/8/2020
0,0,Alabama,3/9/2020
0,0,Alabama,3/10/2020
3,0,Alabama,3/11/2020
4,0,Alabama,3/12/2020
8,0,Alabama,3/13/2020
15,0,Alabama,3/14/2020
28,0,Alabama,3/15/2020
36,0,Alabama,3/16/2020
51,0,Alabama,3/17/2020
61,0,Alabama,3/18/2020
88,0,Alabama,3/19/2020
115,0,Alabama,3/20/2020
149,0,Alabama,3/21/2020
180,0,Alabama,3/22/2020
